Meeting Name,Meeting Start Time,Meeting End Time,Name,Attendee Email,Join Time,Leave Time,Attendance Duration,Connection Type
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Robert Wilson,robert.wilson@example.com,2024-02-06 09:00:41,2024-02-06 09:56:46,56,Cellular
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Sarah Williams,sarah.williams@example.com,2024-02-06 09:02:29,2024-02-06 09:58:58,56,Wired
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Emily Wilson,emily.wilson@example.com,2024-02-06 09:03:36,2024-02-06 09:56:59,53,Cellular
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Emily Jones,emily.jones@example.com,2024-02-06 09:04:36,2024-02-06 09:59:20,54,Wired
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Jane Jones,jane.jones@example.com,2024-02-06 09:04:38,2024-02-06 09:55:27,50,WiFi
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Sarah Wilson,sarah.wilson@example.com,2024-02-06 09:00:04,2024-02-06 09:58:32,58,WiFi
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Sarah Williams,sarah.williams@example.com,2024-02-06 09:04:47,2024-02-06 09:57:25,52,Cellular
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Michael Davis,michael.davis@example.com,2024-02-06 09:02:34,2024-02-06 09:58:31,55,Cellular
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Robert Johnson,robert.johnson@example.com,2024-02-06 09:01:55,2024-02-06 09:57:01,55,Cellular
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Sarah Wilson,sarah.wilson@example.com,2024-02-06 09:03:45,2024-02-06 09:59:32,55,Wired
