Meeting Name,Meeting Start Time,Meeting End Time,Name,First Name,Last Name,Role,Attendee Email,Join Time,Leave Time,Attendance Duration,Connection Type,Session Name
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Emily Williams,Emily,Williams,Presenter,emily.williams@example.com,2024-02-06 09:03:47,2024-02-06 09:58:48,55,Cellular,Monthly Review
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Robert Brown,Robert,Brown,Presenter,robert.brown@example.com,2024-02-06 09:00:33,2024-02-06 09:57:48,57,WiFi,Weekly Sync
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Michael Wilson,Michael,Wilson,Host,michael.wilson@example.com,2024-02-06 09:03:42,2024-02-06 09:56:10,52,Wired,Monthly Review
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Laura Wilson,Laura,Wilson,Host,laura.wilson@example.com,2024-02-06 09:01:29,2024-02-06 09:58:37,57,Wired,Weekly Sync
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Jane Johnson,Jane,Johnson,Participant,jane.johnson@example.com,2024-02-06 09:02:46,2024-02-06 09:58:27,55,Wired,Weekly Sync
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,John Johnson,John,Johnson,Participant,john.johnson@example.com,2024-02-06 09:01:34,2024-02-06 09:59:40,58,WiFi,Project Kickoff
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Michael Brown,Michael,Brown,Host,michael.brown@example.com,2024-02-06 09:00:05,2024-02-06 09:56:40,56,Cellular,Monthly Review
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Jane Johnson,Jane,Johnson,Presenter,jane.johnson@example.com,2024-02-06 09:00:07,2024-02-06 09:55:04,54,WiFi,Monthly Review
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Sarah Wilson,Sarah,Wilson,Participant,sarah.wilson@example.com,2024-02-06 09:00:10,2024-02-06 09:56:18,56,WiFi,Quarterly Planning
Weekly Team Meeting,2024-02-06 09:00:00,2024-02-06 10:00:00,Michael Smith,Michael,Smith,Presenter,michael.smith@example.com,2024-02-06 09:00:28,2024-02-06 09:57:50,57,Wired,Monthly Review
